amp; max; min; volt; max; min; wattage; mah; Joule
148,73;182,4;116,2;5,02;5,02;5,01;1,0;17,17;0,15
369,03;483,4;147,6;4,96;4,93;4,93;2,0;17,2;0,3
495,6;504,1;483,4;4,92;4,92;4,92;2,0;17,23;0,3
452,9;487,1;372,3;4,94;4,93;4,92;2,0;17,26;0,3
461,23;754,7;295,0;4,93;4,96;4,85;2,0;17,29;0,3
446,57;617,9;334,0;4,93;4,95;4,89;2,0;17,32;0,3
544,57;688,7;327,1;4,92;4,97;4,88;3,0;17,35;0,45
517,27;618,3;327,1;4,91;4,89;4,88;3,0;17,38;0,45
610,5;620,7;604,4;4,89;4,89;4,88;3,0;17,41;0,45
382,1;300,4;241,5;4,95;4,99;4,89;2,0;17,43;0,3
407,3;608,0;241,5;4,94;4,94;4,89;2,0;17,46;0,3
570,77;580,7;523,6;4,9;4,92;4,89;3,0;17,49;0,45
508,2;509,1;491,9;4,92;4,92;4,92;3,0;17,51;0,45
480,33;508,3;364,6;4,92;4,93;4,91;2,0;17,55;0,3
616,67;650,2;556,5;4,89;4,88;4,88;3,0;17,59;0,45
561,6;523,4;511,2;4,9;4,92;4,88;3,0;17,62;0,45
502,43;503,0;493,1;4,92;4,93;4,92;2,0;17,65;0,3
391,27;387,2;293,5;4,93;4,99;4,87;2,0;17,67;0,3
306,5;380,7;245,3;4,99;4,99;4,99;2,0;17,68;0,3
201,47;242,2;116,9;5,0;5,02;4,99;1,0;17,69;0,15
125,07;140,5;116,9;5,02;5,03;5,01;1,0;17,7;0,15
131,77;128,0;126,8;5,02;5,02;5,01;1,0;17,71;0,15
121,3;118,4;117,5;5,02;5,03;5,02;1,0;17,71;0,15
115,97;116,5;113,5;5,03;5,03;5,02;1,0;17,72;0,15
124,2;129,6;116,4;5,02;5,03;5,02;1,0;17,73;0,15
122,63;126,7;111,6;5,03;5,03;5,02;1,0;17,74;0,15
143,73;175,5;126,7;5,02;5,02;5,01;1,0;17,75;0,15
149,73;166,7;129,0;5,01;5,02;5,0;1,0;17,75;0,15
164,17;193,9;145,1;5,01;5,02;5,0;1,0;17,76;0,15
149,87;170,4;134,1;5,02;5,03;5,01;1,0;17,77;0,15
137,8;158,3;121,0;5,02;5,02;5,01;1,0;17,78;0,15
153,13;169,9;131,2;5,02;5,02;5,01;1,0;17,79;0,15
150,67;162,3;131,2;5,02;5,01;5,01;1,0;17,8;0,15
144,07;144,7;125,2;5,02;5,03;5,01;1,0;17,81;0,15
131,0;131,7;130,3;5,02;5,02;5,02;1,0;17,81;0,15
152,15;160,5;131,7;5,01;5,01;5,01;1,0;17,83;0,15
152,67;157,1;143,9;5,01;5,01;5,01;1,0;17,83;0,15
137,87;135,7;134,0;5,02;5,02;5,01;1,0;17,84;0,15
150,43;159,0;135,7;5,02;5,02;5,02;1,0;17,85;0,15
161,9;164,9;156,6;5,01;5,01;5,01;1,0;17,86;0,15
172,43;186,7;164,9;5,01;5,01;5,01;1,0;17,87;0,15
181,2;179,5;177,4;5,01;5,01;5,01;1,0;17,88;0,15
174,13;182,3;162,7;5,01;5,01;5,01;1,0;17,89;0,15
157,5;148,0;142,2;5,02;5,03;5,01;1,0;17,9;0,15
155,2;128,5;128,4;5,01;5,02;5,0;1,0;17,91;0,15
140,37;174,8;117,9;5,02;5,03;5,01;1,0;17,92;0,15
145,57;133,5;128,4;5,02;5,02;5,01;1,0;17,92;0,15
127,03;132,7;114,9;5,02;5,02;5,02;1,0;17,93;0,15
114,3;115,0;113,0;5,02;5,02;5,02;1,0;17,94;0,15
130,1;158,3;113,0;5,02;5,02;5,01;1,0;17,95;0,15
122,63;126,9;119,0;5,02;5,02;5,02;1,0;17,95;0,15
134,3;147,6;126,9;5,02;5,03;5,01;1,0;17,96;0,15
149,4;154,3;146,3;5,02;5,02;5,01;1,0;17,97;0,15
165,83;197,7;146,3;5,01;5,02;5,0;1,0;17,98;0,15
285,55;440,8;197,7;4,99;5,0;4,97;1,0;18,0;0,15
205,73;193,5;192,8;5,01;5,01;5,0;1,0;18,02;0,15
193,57;195,6;192,3;5,0;5,0;5,0;1,0;18,03;0,15
209,57;223,6;192,3;5,0;5,0;4,99;1,0;18,04;0,15
203,37;193,9;192,6;5,0;5,0;5,0;1,0;18,05;0,15
192,2;192,2;190,5;5,0;5,01;5,0;1,0;18,06;0,15
193,23;194,2;192,2;5,0;5,0;5,0;1,0;18,07;0,15
215,3;233,1;193,3;5,0;5,0;4,99;1,0;18,08;0,15
250,13;342,1;188,8;4,99;5,0;4,97;1,0;18,1;0,15
194,2;199,6;188,8;5,0;5,0;5,0;1,0;18,1;0,15
200,53;201,3;199,6;5,0;5,01;5,0;1,0;18,11;0,15
205,38;213,4;200,7;5,0;5,0;4,99;1,0;18,14;0,15
204,5;200,5;199,6;5,0;5,0;4,99;1,0;18,15;0,15
222,3;238,0;199,6;5,0;5,0;5,0;1,0;18,16;0,15
222,47;220,8;217,3;5,0;5,0;4,99;1,0;18,17;0,15
217,05;216,8;216,8;5,0;5,0;5,0;1,0;18,18;0,15
315,6;609,0;215,9;4,97;5,0;4,88;2,0;18,21;0,3
536,0;570,5;428,5;4,91;4,96;4,88;3,0;18,24;0,45
394,6;521,5;233,8;4,97;4,99;4,96;2,0;18,26;0,3
177,47;177,3;121,3;5,01;5,02;4,99;1,0;18,27;0,15
134,63;168,4;114,2;5,02;5,03;5,01;1,0;18,27;0,15
114,6;114,5;114,2;5,03;5,03;5,02;1,0;18,28;0,15
129,08;141,5;115,1;5,02;5,02;5,02;1,0;18,29;0,15
140,03;154,5;127,9;5,02;5,02;5,02;1,0;18,3;0,15
134,47;137,3;128,4;5,02;5,02;5,02;1,0;18,31;0,15
126,93;126,5;125,9;5,02;5,02;5,02;1,0;18,31;0,15
180,27;238,5;125,9;5,01;5,01;4,99;1,0;18,32;0,15
196,0;216,1;133,4;5,0;5,03;4,99;1,0;18,33;0,15
129,13;130,0;124,0;5,02;5,02;5,02;1,0;18,34;0,15
125,83;131,4;122,1;5,02;5,02;5,02;1,0;18,35;0,15
124,87;122,2;121,0;5,02;5,03;5,02;1,0;18,36;0,15
141,03;180,2;121,0;5,02;5,02;5,01;1,0;18,37;0,15
139,83;163,4;127,6;5,02;5,02;5,01;1,0;18,38;0,15
194,97;210,8;163,4;5,01;5,0;5,0;1,0;18,39;0,15
168,83;165,8;130,0;5,01;5,02;5,0;1,0;18,4;0,15
162,07;166,1;154,3;5,01;5,01;5,01;1,0;18,4;0,15
156,53;177,6;137,7;5,01;5,02;5,01;1,0;18,41;0,15
155,93;166,1;137,7;5,01;5,01;5,01;1,0;18,42;0,15
158,17;155,3;155,2;5,01;5,02;5,01;1,0;18,43;0,15
165,73;174,6;155,2;5,01;5,01;5,01;1,0;18,44;0,15
154,93;164,6;132,8;5,02;5,02;5,01;1,0;18,45;0,15
127,8;127,4;123,2;5,02;5,02;5,02;1,0;18,46;0,15
117,53;119,2;114,6;5,02;5,02;5,02;1,0;18,47;0,15
130,27;166,2;110,0;5,02;5,02;5,01;1,0;18,47;0,15
235,03;385,8;110,0;4,99;5,0;4,94;1,0;18,49;0,15
