amp, max, min, volt, max, min, wattage, mah, Joule
127.27,127.3,126.9,5.02,5.02,5.02,1.0,177.85,0.15
126.97,126.9,126.4,5.02,5.02,5.02,1.0,177.86,0.15
126.87,127.5,126.4,5.02,5.02,5.02,1.0,177.87,0.15
127.03,127.3,126.3,5.02,5.02,5.02,1.0,177.87,0.15
126.13,126.2,125.9,5.02,5.02,5.02,1.0,177.88,0.15
142.13,201.7,98.8,5.02,5.03,4.99,1.0,177.89,0.15
99.37,99.8,98.8,5.03,5.03,5.03,0.0,177.9,0.0
99.1,98.7,98.7,5.03,5.03,5.03,0.0,177.9,0.0
98.4,98.9,97.9,5.03,5.03,5.03,0.0,177.91,0.0
98.85,98.8,98.8,5.03,5.03,5.03,0.0,177.91,0.0
111.57,151.8,97.3,5.03,5.03,5.02,1.0,177.92,0.15
97.47,97.7,97.3,5.03,5.03,5.03,0.0,177.92,0.0
97.47,98.0,96.9,5.03,5.04,5.03,0.0,177.93,0.0
97.5,97.3,97.2,5.03,5.03,5.03,0.0,177.94,0.0
97.77,98.6,97.2,5.03,5.03,5.03,0.0,177.94,0.0
97.35,97.2,97.2,5.03,5.03,5.03,0.0,177.95,0.0
55.78,97.1,14.3,5.04,5.06,5.03,0.0,177.95,0.0
14.47,14.5,14.4,5.06,5.06,5.06,0.0,177.95,0.0
14.45,14.4,14.4,5.06,5.05,5.05,0.0,177.95,0.0
14.55,15.4,14.1,5.05,5.05,5.05,0.0,177.95,0.0
15.2,15.5,14.7,5.05,5.05,5.05,0.0,177.95,0.0
14.33,14.2,14.1,5.05,5.05,5.05,0.0,177.95,0.0
14.2,14.3,14.1,5.05,5.05,5.05,0.0,177.95,0.0
269.52,366.1,14.3,4.99,4.97,4.96,1.0,177.98,0.15
333.48,334.7,332.1,4.97,4.97,4.97,2.0,178.01,0.3
336.23,337.6,334.2,4.97,4.97,4.97,2.0,178.03,0.3
336.47,337.4,334.4,4.97,4.97,4.97,2.0,178.05,0.3
337.23,338.0,336.3,4.97,4.97,4.97,2.0,178.07,0.3
337.67,338.3,336.7,4.97,4.97,4.97,2.0,178.09,0.3
249.27,234.2,175.3,4.99,5.01,4.97,1.0,178.1,0.15
313.5,467.8,175.3,4.97,4.99,4.92,2.0,178.12,0.3
368.67,339.4,298.8,4.96,4.98,4.92,2.0,178.14,0.3
